BJP | positive
Congress | positive
BJP | positive
BJP | positive
SP | positive
SP | negative
SP | positive
SP | positive
BJP | positive
BJP | positive
BJP | positive
Congress | negative
BJP | positive
Congress | positive
BJP | positive
BJP | positive
SP | positive
Congress | positive
BJP | positive
SP | positive
SP | positive
Congress | positive
SP | positive
BJP | negative
SP | positive
Congress | positive
BJP | positive
Congress | positive
Congress | positive
SP | positive
Congress | positive
Congress | positive
BJP | positive
BJP | positive
Congress | negative
SP | positive
SP | positive
SP | negative
Congress | positive
BJP | positive
SP | negative
SP | negative
SP | positive
Congress | positive
SP | positive
SP | negative
SP | negative
SP | positive
SP | negative
BJP | positive
SP | negative
BJP | negative
BJP | positive
BJP | positive
BJP | negative
BJP | positive
BJP | positive
BJP | positive
BJP | positive
SP | positive
SP | positive
BJP | positive
SP | negative
SP | negative
SP | positive
SP | negative
SP | positive
SP | positive
BJP | positive
BJP | positive
BJP | negative
BJP | negative
BJP | positive
BJP | positive
BJP | positive
BJP | positive
Congress | positive
BJP | positive
BJP | positive
BJP | positive
SP | positive
BJP | positive
BJP | positive
BJP | negative
BJP | positive
SP | negative
SP | negative
SP | positive
BJP | positive
BJP | negative
SP | negative
BJP | positive
SP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | negative
SP | negative
BJP | positive
BJP | positive
BJP | positive
SP | negative
Congress | positive
SP | positive
BJP | positive
SP | positive
SP | positive
BJP | positive
BJP | negative
BJP | negative
SP | positive
SP | positive
SP | positive
BJP | negative
BJP | positive
SP | positive
SP | positive
SP | negative
SP | negative
SP | positive
SP | positive
SP | positive
BJP | positive
Congress | negative
BJP | positive
BJP | positive
BJP | positive
BJP | positive
SP | negative
Congress | negative
BJP | positive
SP | positive
BJP | negative
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | negative
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | negative
BJP | positive
BJP | positive
Congress | negative
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
SP | negative
BJP | positive
BJP | positive
BJP | positive
SP | negative
BJP | negative
BJP | positive
SP | positive
SP | negative
SP | negative
BJP | positive
SP | negative
SP | negative
SP | negative
Congress | negative
Congress | positive
BJP | positive
BJP | positive
SP | negative
BJP | positive
Congress | positive
BJP | positive
Congress | positive
BJP | positive
SP | negative
SP | negative
SP | positive
Congress | positive
BJP | positive
BJP | positive
SP | positive
BJP | positive
BJP | negative
BJP | positive
Congress | negative
BJP | negative
SP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | negative
BJP | positive
BJP | positive
SP | positive
SP | positive
SP | positive
BJP | positive
SP | positive
Congress | positive
SP | negative
BJP | positive
BJP | negative
SP | negative
BJP | positive
SP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
Congress | positive
BJP | positive
SP | negative
Congress | positive
Congress | positive
BJP | positive
SP | negative
SP | positive
BJP | positive
BJP | positive
BJP | positive
Congress | negative
SP | positive
BJP | positive
BJP | positive
BJP | negative
BJP | positive
BJP | positive
BJP | positive
BJP | negative
SP | positive
BJP | negative
BJP | negative
SP | negative
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | negative
BJP | positive
SP | positive
SP | negative
SP | positive
BJP | positive
BJP | positive
BJP | negative
BJP | positive
BJP | positive
BJP | positive
BJP | negative
BJP | positive
SP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
SP | positive
SP | positive
BJP | positive
BJP | negative
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
SP | positive
BJP | positive
SP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | negative
BJP | positive
BJP | positive
BJP | positive
SP | positive
BJP | positive
BJP | positive
Congress | positive
BJP | positive
BJP | positive
Congress | positive
BJP | positive
BJP | positive
BJP | positive
Congress | positive
BJP | positive
BJP | positive
BJP | positive
SP | negative
BJP | negative
BJP | negative
BJP | negative
BJP | positive
BJP | negative
BJP | positive
SP | negative
BJP | positive
BJP | negative
BJP | negative
BJP | positive
BJP | positive
SP | positive
SP | positive
BJP | negative
BJP | negative
BJP | positive
BJP | positive
Congress | positive
BJP | positive
BJP | positive
Congress | positive
SP | negative
BJP | positive
SP | negative
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | negative
SP | negative
Congress | positive
SP | positive
Congress | positive
BJP | positive
BJP | negative
SP | positive
BJP | positive
BJP | positive
SP | positive
BJP | positive
BJP | positive
BJP | positive
BJP | negative
BJP | positive
BJP | positive
BJP | positive
SP | positive
SP | positive
Congress | positive
SP | negative
BJP | negative
SP | positive
SP | positive
SP | negative
SP | negative
SP | negative
SP | positive
SP | positive
BJP | positive
SP | positive
BJP | positive
BJP | positive
BJP | positive
Congress | positive
BJP | positive
Congress | positive
SP | negative
BJP | positive
